City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
581,Athboy,IE,15.16,light rain,53.6186,-6.9206,Coburn's
586,Khash,IR,17.77,clear sky,28.2211,61.2158,خوابگاه آبجی محدثه
587,Matamoros,MX,18.95,clear sky,25.5333,-103.25,Quinta Belem
588,Sambava,MG,21.16,overcast clouds,-14.2667,50.1667,Melrose
589,Sao Gabriel Da Cachoeira,BR,24.89,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
594,Urbano Santos,BR,23.05,broken clouds,-3.2078,-43.4036,Pousada Santa Dulce
595,Hervey Bay,AU,23.9,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
597,Pacific Grove,US,21.68,mist,36.6177,-121.9166,Lovers Point Inn
601,Mattru,SL,22.52,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
605,Puerto Colombia,CO,24.05,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
610,Assare,BR,23.22,overcast clouds,-6.8744,-39.875,José Xavier de Andrade
612,Tokyo,JP,23.95,broken clouds,35.6895,139.6917,Hilton Tokyo
619,Gawler,AU,20.27,overcast clouds,-34.6,138.7333,Eagle Foundry Bed & Breakfast
624,Acari,PE,17.56,scattered clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
633,Kuala Terengganu,MY,24.97,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
634,Penzance,GB,16.38,overcast clouds,50.1186,-5.5371,Artist Residence Penzance
637,Eirunepe,BR,24.08,moderate rain,-6.6603,-69.8736,Hotel novo Acre & Comercial Aguiar
640,Guymon,US,18.0,overcast clouds,36.6828,-101.4816,Simple Rewards
642,Pampa,US,20.32,scattered clouds,35.5362,-100.9599,"Holiday Inn Express & Suites Pampa, an IHG Hotel"
643,Seoul,KR,17.76,scattered clouds,37.5683,126.9778,LOTTE HOTEL SEOUL
644,Hvide Sande,DK,15.05,overcast clouds,56.0045,8.1294,Hvide Sande Hotel
645,Betare Oya,CM,19.06,overcast clouds,5.6,14.0833,Auberge Tembina Betaré Oya
647,Garissa,KE,22.42,few clouds,-0.4536,39.6401,Sharif Plaza Hotel
649,Magadi,IN,21.09,scattered clouds,12.9667,77.2333,Gobi centre
654,San Martin,AR,20.3,light rain,-33.081,-68.4681,Finca Vivencias
657,Kenora,CA,18.54,overcast clouds,49.8167,-94.4337,Maynard Lake Lodge
658,Perth,AU,18.15,few clouds,-31.9333,115.8333,Quest on Rheola
660,Jasper,US,21.95,overcast clouds,37.2001,-94.3502,Guest House Motel
661,Fortuna,US,15.52,broken clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
663,Kibala,TD,21.95,overcast clouds,9.1104,18.3463,Prasant Hotels
666,Yankton,US,16.18,overcast clouds,42.8711,-97.3973,"Holiday Inn Express & Suites Yankton, an IHG Hotel"
670,Kibondo,TZ,16.73,overcast clouds,-3.5864,30.7203,Pongezi Annex Guest House
674,Meadow Lake,US,16.23,overcast clouds,34.8014,-106.5436,TumbleWeed RV Park
681,Cap Malheureux,MU,19.7,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
683,Piacabucu,BR,23.11,few clouds,-10.4056,-36.4344,Piaçabuçu News
684,Isiro,CD,18.13,overcast clouds,2.7739,27.616,Guest House Hewa Bora
687,Mackay,AU,24.82,overcast clouds,-21.15,149.2,International Lodge Motel
688,Miyako,JP,15.42,overcast clouds,39.6367,141.9525,Hotel Route Inn Miyako
694,Sungaipenuh,ID,19.2,overcast clouds,-2.0833,101.3833,Penginapan Citra Alam
696,Coruripe,BR,23.06,scattered clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
702,Yafran,LY,16.67,clear sky,32.0633,12.5286,بيوت الشباب بيفرن
703,Eureka,US,15.67,broken clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
706,Northam,GB,16.25,overcast clouds,51.0333,-4.2167,Durrant House Hotel
708,Roura,GF,23.95,few clouds,4.7263,-52.3274,Amazonie Découverte SARL
709,Axim,GH,23.95,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
