City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
68,Solton,RU,52.8429,86.4787,1.38,72,100,2.36,overcast clouds
69,Havoysund,NO,70.9963,24.6622,6.13,80,6,8.03,clear sky
70,Namie,JP,37.4833,141.0,17.21,84,100,4.15,light rain
71,Albany,US,42.6001,-73.9662,11.33,77,100,1.64,overcast clouds
72,Huambo,AO,-12.7761,15.7392,17.17,63,12,1.08,few clouds
73,Vao,NC,-22.6667,167.4833,20.53,59,3,3.63,clear sky
74,Sao Joao Da Barra,BR,-21.6403,-41.0511,20.59,95,100,1.74,overcast clouds
75,Ulladulla,AU,-35.35,150.4667,14.5,82,100,6.08,light rain
76,Simao,CN,22.7886,100.9748,23.64,63,7,1.1,clear sky
77,Port Lincoln,AU,-34.7333,135.8667,17.79,72,57,4.94,broken clouds
78,Hilo,US,19.7297,-155.09,28.47,72,20,4.63,few clouds
79,Doha,QA,25.2867,51.5333,28.99,84,0,2.57,clear sky
80,Avarua,CK,-21.2078,-159.775,26.03,61,20,9.26,few clouds
81,Bell Ville,AR,-32.6259,-62.6887,18.7,30,74,7.01,broken clouds
82,Mayumba,GA,-3.432,10.6554,24.19,84,100,2.58,overcast clouds
83,Port Elizabeth,ZA,-33.918,25.5701,15.73,90,0,2.57,clear sky
84,Buraydah,SA,26.326,43.975,25.25,24,0,3.66,clear sky
85,San Quintin,MX,30.4833,-115.95,20.76,84,38,4.22,scattered clouds
86,Qaanaaq,GL,77.484,-69.3632,-8.55,77,100,2.67,overcast clouds
87,Pisco,PE,-13.7,-76.2167,15.03,88,0,5.14,clear sky
88,Ruidoso,US,33.3317,-105.673,13.82,71,2,3.6,clear sky
89,Auki,SB,-8.7676,160.7034,30.39,56,13,3.98,few clouds
90,Dikson,RU,73.5069,80.5464,0.27,77,100,8.8,overcast clouds
91,Grafton,US,42.207,-71.6856,12.26,94,100,4.63,light rain
92,Haines Junction,CA,60.7522,-137.5108,9.97,53,100,1.03,overcast clouds
93,Okhotsk,RU,59.3833,143.3,1.5,50,100,6.62,overcast clouds
94,Hatsukaichi,JP,34.35,132.3333,23.97,71,98,3.24,overcast clouds
95,Bathsheba,BB,13.2167,-59.5167,27.34,83,40,14.4,scattered clouds
96,Cabo San Lucas,MX,22.8909,-109.9124,28.61,69,20,0.0,few clouds
97,Rybinsk,RU,58.0446,38.8426,7.54,91,100,2.86,overcast clouds
98,Ambikapur,IN,23.1167,83.2,23.02,93,100,2.99,light rain
99,Saint-Philippe,RE,-21.3585,55.7679,19.77,76,42,4.51,scattered clouds
100,Puerto Ayora,EC,-0.7393,-90.3518,19.19,94,24,3.13,few clouds
101,Heihe,CN,50.2441,127.4902,5.32,34,2,5.5,clear sky
102,Kirakira,SB,-10.4544,161.9205,28.53,73,35,4.06,scattered clouds
103,Port Hawkesbury,CA,45.6169,-61.3485,11.44,94,0,2.57,clear sky
104,Broome,US,42.2506,-75.833,10.66,82,100,4.12,moderate rain
105,Djenne,ML,13.9061,-4.5533,28.07,64,6,4.69,clear sky
106,Naze,JP,28.3667,129.4833,28.51,70,3,2.13,clear sky
107,Buenos Aires,AR,-34.6132,-58.3772,16.85,87,0,8.23,clear sky
